Magazin original,Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Bazin comercial,Nr. clienți
Staer 23,Staer 23,Drumul Binelui,Sector 4,Sector 4,București,Sud,230
Staer 9,Staer 9,Bulevardul Timișoara,Sector 6,Sector 6,București,Vest,201
Staer 23,Staer 23,Strada Biruinței,Popești-Leordeni,—,Ilfov,Sud,192
Staer 9,Staer 9,Bulevardul Iuliu Maniu,Sector 6,Sector 6,București,Vest,182
Staer 23,Staer 23,Bulevardul Metalurgiei,Sector 4,Sector 4,București,Sud,130
Staer 23,Staer 23,Drumul Jilavei,Sector 4,Sector 4,București,Sud,124
Staer 23,Staer 23,Drumul Fermei,Popești-Leordeni,—,Ilfov,Sud,119
Staer 23,Staer 23,Strada Odei,Sector 4,Sector 4,București,Sud,118
Staer 7,Staer 7,NECUNOSCUTĂ,București neatribuit,București neatribuit,București,București neatribuit,117
Staer 23,Staer 23,Șoseaua Olteniței,Sector 4,Sector 4,București,Sud,98
Staer 9,Staer 9,Prelungirea Ungirea Ghencea,Sector 6,Sector 6,București,Vest,90
Staer 23,Staer 23,Strada Amurgului,Popești-Leordeni,—,Ilfov,Sud,85
Staer 23,Staer 23,Drumul Gura Caliței,Sector 3,Sector 3,București,Est,84
Staer 23,Staer 23,Strada Turnu Măgurele,Sector 4,Sector 4,București,Sud,83
Staer 9,Staer 9,Tineretului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,80
Staer 23,Staer 23,Postalionului,Sector 4,Sector 4,București,Sud,79
Staer 23,Staer 23,Strada Luica,Sector 4,Sector 4,București,Sud,72
Staer 23,Staer 23,Șoseaua Berceni,Sector 4,Sector 4,București,Sud,69
Staer 7,Staer 7,Șoseaua Colentina,București neatribuit,București neatribuit,București,București neatribuit,64
Staer 23,Staer 23,Drumul Gura Putnei,Sector 3,Sector 3,București,Est,61
Staer 9,Staer 9,Șoseaua Salaj,Sector 5,Sector 5,București,Sud-Vest,61
Staer 23,Staer 23,Șoseaua Olteniței,Sector 4,Sector 4,București,Sud,60
Staer 23,Staer 23,Șoseaua Giurgiului,Sector 4,Sector 4,București,Sud,55
Staer 9,Staer 9,Strada Brasov,Sector 6,Sector 6,București,Vest,50
Staer 23,Staer 23,X,București neatribuit,București neatribuit,București,București neatribuit,48
Staer 7,Staer 7,Șoseaua Colentina,Sector 2,Sector 2,București,Nord-Est,47
Staer 23,Staer 23,Strada Luica,Sector 4,Sector 4,București,Sud,45
Staer 23,Staer 23,Șoseaua Pantelimon,Sector 2,Sector 2,București,Nord-Est,44
Staer 23,Staer 23,Strada Aurel Perșu,Sector 4,Sector 4,București,Sud,44
Staer 9,Staer 9,Dr Taberei,Sector 6,Sector 6,București,Vest,44
Staer 9,Staer 9,Splaiul Independenței,Sector 6,Sector 6,București,Vest,44
Staer 9,Staer 9,Safirului,Bragadiru,—,Ilfov,Sud-Vest,43
Staer 23,Staer 23,Solstitiului,Popești-Leordeni,—,Ilfov,Sud,42
Staer 23,Staer 23,Șoseaua Oltenitei,Popești-Leordeni,—,Ilfov,Sud,41
Staer 9,Staer 9,Rezervelor,Chiajna–Roșu–Dudu,—,Ilfov,Vest,40
Alis Ecomob SRL,Staer 9,Prelungirea Ungirea Ghencea,Sector 6,Sector 6,București,Vest,39
Staer 23,Staer 23,Drumul Dealu Bradului,Sector 4,Sector 4,București,Sud,39
Staer 9,Staer 9,Strada Biruinței,Popești-Leordeni,—,Ilfov,Sud,39
Staer 23,Staer 23,Bulevardul Camil Ressu,Sector 3,Sector 3,București,Est,37
Staer 23,Staer 23,Amurgului,Popești-Leordeni,—,Ilfov,Sud,37
Staer 23,Staer 23,Bulevardul Metalurgiei,Sector 4,Sector 4,București,Sud,36
Staer 23,Staer 23,Aleea Huedin,Sector 4,Sector 4,București,Sud,36
Staer 23,Staer 23,Aleea Resita,Sector 4,Sector 4,București,Sud,36
Staer 7,Staer 7,Bulevardul Pipera,Voluntari–Pipera,—,Ilfov,Nord,35
Staer 23,Staer 23,Aleea Lamotesti,Sector 4,Sector 4,București,Sud,34
Staer 9,Staer 9,Prelungirea Ungirea Ghencea,Bragadiru,—,Ilfov,Sud-Vest,34
Staer 23,Staer 23,Șoseaua Giurgiului,București neatribuit,București neatribuit,București,București neatribuit,33
Staer 23,Staer 23,Aleea Covasna,Sector 4,Sector 4,București,Sud,33
Staer 23,Staer 23,Constantin Brancoveanu,Sector 4,Sector 4,București,Sud,33
Staer 23,Staer 23,Popesti Vest,Popești-Leordeni,—,Ilfov,Sud,33
Staer 9,Staer 9,Calea Ea Giulesti,Sector 6,Sector 6,București,Vest,33
Staer 23,Staer 23,Drumul Fermei,Popești-Leordeni,—,Ilfov,Sud,32
Staer 9,Staer 9,Șoseaua Pantelimon,Sector 2,Sector 2,București,Nord-Est,31
Alis Ecomob SRL,Staer 9,Bulevardul Iuliu Maniu,Sector 6,Sector 6,București,Vest,30
Alis Ecomob SRL,Staer 9,Dr Fermei,Popești-Leordeni,—,Ilfov,Sud,30
Staer 9,Staer 9,Ajustorului,Sector 6,Sector 6,București,Vest,30
Staer 7,Staer 7,Șoseaua Pantelimon,Sector 2,Sector 2,București,Nord-Est,29
Staer 9,Staer 9,Calea Ea Crângași,Sector 6,Sector 6,București,Vest,29
Staer 23,Staer 23,Bulevardul Al. Obregia,Sector 4,Sector 4,București,Sud,28
