Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Nr. clienți
Staer 23,1,sector 1,sector 1,bucurești,1
Staer 23,1 dec,berceni (ilfov),—,ilfov,1
Staer 23,1 dec,tunari,—,ilfov,1
Staer 23,1 decembrie,berceni (ilfov),—,ilfov,3
Staer 23,1 decembrie,tunari,—,ilfov,4
Staer 23,1 decembrie 1918,cernica,—,ilfov,1
Staer 23,1 decembrie 1918,darasti,—,ilfov,1
Staer 23,1 mai,otopeni,—,ilfov,2
Staer 23,1 mai,popești-leordeni,—,ilfov,2
Staer 23,10 mese,sector 2,sector 2,bucurești,1
Staer 23,11 iunie,sector 4,sector 4,bucurești,3
Staer 23,12,1 decembrie,—,ilfov,1
Staer 23,132,sector 2,sector 2,bucurești,1
Staer 23,16,1 decembrie,—,ilfov,1
Staer 23,17,1 dec 1918,—,ilfov,1
Staer 23,17,1 decembrie(green city),—,ilfov,1
Staer 23,18,1 decembrie,—,ilfov,2
Staer 23,1864,chiajna–roșu–dudu,—,ilfov,1
Staer 23,19 noiembrie,sector 3,sector 3,bucurești,2
Staer 23,1decembrie 1918,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,1mai,popești-leordeni,—,ilfov,1
Staer 23,20,1 decembrie,—,ilfov,4
Staer 23,21,1 decembrie,—,ilfov,2
Staer 23,21,1 decembrie ( complex green city),—,ilfov,1
Staer 23,22dec 1989,dobroești,—,ilfov,1
Staer 23,23 august,baneasa,—,ilfov,1
Staer 23,23 august,jilava,—,ilfov,1
Staer 23,23 august,otopeni,—,ilfov,5
Staer 23,26,cheiul dambovitei,—,ilfov,1
Staer 23,3,1 decembrie,—,ilfov,1
Staer 23,35,solstitiului,—,ilfov,1
Staer 23,3a,privighetorilor,—,ilfov,1
Staer 23,4,sector 4,sector 4,bucurești,1
Staer 23,56jilavei,sector 4,sector 4,bucurești,1
Staer 23,70k,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,9 mai,otopeni,—,ilfov,1
Staer 23,9 mai,sector 6,sector 6,bucurești,1
Staer 23,a.s.puskin,voluntari–pipera,—,ilfov,1
Staer 23,a.ucea,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aa covasna,sector 4,sector 4,bucurești,1
Staer 23,abrud,sector 1,sector 1,bucurești,1
Staer 23,abuna,sector 1,sector 1,bucurești,1
Staer 23,abune,sector 1,sector 1,bucurești,1
Staer 23,academiei,sector 1,sector 1,bucurești,1
Staer 23,actiuni,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,actiunii,sector 4,sector 4,bucurești,7
Staer 23,acvariului,sector 6,sector 6,bucurești,1
Staer 23,acvilei,chiajna–roșu–dudu,—,ilfov,2
Staer 23,acvilei,pantelimon,—,ilfov,1
Staer 23,adrian,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aea calarasi,sector 3,sector 3,bucurești,1
Staer 23,aero city,tunari,—,ilfov,1
Staer 23,aeroportului,bragadiru,—,ilfov,1
Staer 23,aeroportului,cornetu,—,ilfov,2
Staer 23,afroditei,domnești,—,ilfov,1
Staer 23,agata barsescu,sector 3,sector 3,bucurești,1
Staer 23,agatha barsescu,sector 3,sector 3,bucurești,2
Staer 23,agnes,popești-leordeni,—,ilfov,2
Staer 23,agricultori,brănești,—,ilfov,1
Staer 23,agricultori,buftea,—,ilfov,1
Staer 23,aiu unirii,popești-leordeni,—,ilfov,2
Staer 23,aja,dimieni,—,ilfov,1
Staer 23,aja,sector 4,sector 4,bucurești,13
Staer 23,ajustorului,sector 6,sector 6,bucurești,3
Staer 23,al grigorescu,sector 3,sector 3,bucurești,1
Staer 23,al ion agribiteanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al oregia,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al serbanescu,sector 1,sector 1,bucurești,1
Staer 23,al somesul cald,sector 4,sector 4,bucurești,1
Staer 23,al. cetatea veche,sector 4,sector 4,bucurești,1
Staer 23,al. iacobescu,sector 6,sector 6,bucurești,1
Staer 23,al. raul sadului,sector 4,sector 4,bucurești,1
Staer 23,al. soldat nicolae barbu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al.aliorului,sector 4,sector 4,bucurești,1
Staer 23,al.barajul cucuteni,sector 3,sector 3,bucurești,1
Staer 23,al.ddobrina,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al.ipsilanti,sector 2,sector 2,bucurești,1
Staer 23,al.izvorul oltului,sector 4,sector 4,bucurești,1
Staer 23,al.leorda,sector 4,sector 4,bucurești,1
Staer 23,al.otesani,sector 2,sector 2,bucurești,1
Staer 23,al.resita,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al.rm.valcea,sector 3,sector 3,bucurești,1
Staer 23,al.sld.barbu nicolae,sector 4,sector 4,bucurești,1
Staer 23,albastrelelor,măgurele,—,ilfov,2
Staer 23,albatrosului,pantelimon,—,ilfov,3
Staer 23,albinelor,sector 4,sector 4,bucurești,2
Staer 23,aleea a stugu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea adrian carstea,sector 3,sector 3,bucurești,4
Staer 23,aleea aduintei,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,aleea aduintei,sector 4,sector 4,bucurești,12
Staer 23,aleea aliorului,sector 4,sector 4,bucurești,14
Staer 23,aleea ardealului,voluntari–pipera,—,ilfov,1
Staer 23,aleea arubium,sector 2,sector 2,bucurești,2
Staer 23,aleea aviatori stalpeanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea avrig,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 23,aleea avrig,sector 2,sector 2,bucurești,10
Staer 23,aleea baiut,sector 6,sector 6,bucurești,1
Staer 23,aleea banu udrea,sector 3,sector 3,bucurești,5
Staer 23,aleea barajul bicaz,sector 3,sector 3,bucurești,5
Staer 23,aleea barajul bistrita,sector 3,sector 3,bucurești,1
Staer 23,aleea barajul cucuteni,sector 3,sector 3,bucurești,3
Staer 23,aleea barajul lotrului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea barajul rovinari,sector 3,sector 3,bucurești,5
Staer 23,aleea barajul uzului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea barajul uzului,sector 3,sector 3,bucurești,2
Staer 23,aleea barbu ch nicolae sold,sector 4,sector 4,bucurești,1
Staer 23,aleea barsanesti,sector 6,sector 6,bucurești,1
Staer 23,aleea berevoiesti,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea bistricioara,sector 2,sector 2,bucurești,2
Staer 23,aleea brasoveni,sector 2,sector 2,bucurești,1
Staer 23,aleea buhusi,sector 3,sector 3,bucurești,6
Staer 23,aleea calnau,sector 3,sector 3,bucurești,1
Staer 23,aleea calnau (ilioara 11),sector 3,sector 3,bucurești,1
Staer 23,aleea cetatea veche,sector 4,sector 4,bucurești,34
Staer 23,aleea ciucea,sector 3,sector 3,bucurești,16
Staer 23,aleea codrii neamtului,bucurești neatribuit,bucurești neatribuit,bucurești,7
Staer 23,aleea codrii neamtului,sector 3,sector 3,bucurești,11
Staer 23,aleea covansa,sector 4,sector 4,bucurești,1
Staer 23,aleea covasna,sector 4,sector 4,bucurești,49
Staer 23,aleea cricovul dulce,sector 4,sector 4,bucurești,7
Staer 23,aleea dealul macinului,sector 6,sector 6,bucurești,2
